_reject_table,_reject_rule,call_id
calls,restrict to analysis window (IST),CALL0058782
calls,restrict to analysis window (IST),CALL0024867
calls,restrict to analysis window (IST),CALL0002755
calls,restrict to analysis window (IST),CALL0083209
calls,restrict to analysis window (IST),CALL0029119
calls,restrict to analysis window (IST),CALL0054460
calls,restrict to analysis window (IST),CALL0028057
calls,restrict to analysis window (IST),CALL0081102
calls,restrict to analysis window (IST),CALL0044046
calls,restrict to analysis window (IST),CALL0056095
calls,restrict to analysis window (IST),CALL0058721
calls,restrict to analysis window (IST),CALL0062842
calls,restrict to analysis window (IST),CALL0025438
calls,restrict to analysis window (IST),CALL0055300
calls,restrict to analysis window (IST),CALL0044174
calls,restrict to analysis window (IST),CALL0071484
calls,restrict to analysis window (IST),CALL0044634
calls,restrict to analysis window (IST),CALL0060965
calls,restrict to analysis window (IST),CALL0046962
calls,restrict to analysis window (IST),CALL0079307
calls,restrict to analysis window (IST),CALL0048210
calls,restrict to analysis window (IST),CALL0005005
calls,restrict to analysis window (IST),CALL0050324
calls,restrict to analysis window (IST),CALL0086021
calls,restrict to analysis window (IST),CALL0054603
calls,restrict to analysis window (IST),CALL0085900
calls,restrict to analysis window (IST),CALL0006532
calls,restrict to analysis window (IST),CALL0072083
calls,restrict to analysis window (IST),CALL0040186
calls,restrict to analysis window (IST),CALL0016521
calls,restrict to analysis window (IST),CALL0078881
calls,restrict to analysis window (IST),CALL0054586
calls,restrict to analysis window (IST),CALL0084742
calls,restrict to analysis window (IST),CALL0021294
calls,restrict to analysis window (IST),CALL0041059
calls,restrict to analysis window (IST),CALL0041818
calls,restrict to analysis window (IST),CALL0027383
calls,restrict to analysis window (IST),CALL0068548
calls,restrict to analysis window (IST),CALL0063652
calls,restrict to analysis window (IST),CALL0057416
calls,restrict to analysis window (IST),CALL0058861
calls,restrict to analysis window (IST),CALL0010559
calls,restrict to analysis window (IST),CALL0038335
calls,restrict to analysis window (IST),CALL0042537
calls,restrict to analysis window (IST),CALL0071985
calls,restrict to analysis window (IST),CALL0062905
calls,restrict to analysis window (IST),CALL0046271
calls,restrict to analysis window (IST),CALL0034296
calls,restrict to analysis window (IST),CALL0009769
calls,restrict to analysis window (IST),CALL0004923
calls,restrict to analysis window (IST),CALL0051226
calls,restrict to analysis window (IST),CALL0041544
