vendor_id,vendor_name,vendor_account_id,timezone,status,schema_version,vendor_group
VND0000001,Airtel,VAC342762,Asia/Kolkata,INACTIVE,v3,Airtel
VND0000002,Exotel,VAC456766,UTC,INACTIVE,v3,Exotel
VND0000003,Twilio,VAC074211,UTC,INACTIVE,v3,Twilio
VND0000004,Twilio,VAC321507,UTC,ACTIVE,v1,Twilio
VND0000005,Twilio,VAC976733,Asia/Kolkata,ACTIVE,v1,Twilio
VND0000006,Knowlarity,VAC544470,UTC,ACTIVE,v2,Knowlarity
VND0000007,TataTele,VAC997592,UTC,INACTIVE,v1,TataTele
VND0000008,Airtel,VAC496672,Asia/Kolkata,INACTIVE,v3,Airtel
VND0000009,Exotel,VAC382568,Asia/Kolkata,INACTIVE,v1,Exotel
VND0000010,Airtel,VAC172916,UTC,INACTIVE,v1,Airtel
VND0000011,Airtel,VAC461665,UTC,ACTIVE,v3,Airtel
VND0000012,Airtel,VAC583104,UTC,INACTIVE,v1,Airtel
VND0000013,Knowlarity,VAC138790,Asia/Kolkata,ACTIVE,v1,Knowlarity
VND0000014,Knowlarity,VAC547425,Asia/Kolkata,INACTIVE,v3,Knowlarity
VND0000015,TataTele,VAC225367,Asia/Kolkata,ACTIVE,v2,TataTele
